Symbol,FDR,AUC.ctrl
Mrps10,6.85e-110,0.698
Gm10076,8.06e-110,0.698
Grwd1,8.71e-110,0.697
Ssbp4,9.95e-110,0.698
Rexo2,1.33e-109,0.698
1810037I17Rik,1.42e-109,0.698
Ppat,4.57e-109,0.697
Srsf9,5.62e-109,0.697
Eif1ax,7.13e-109,0.697
Arl1,1.09e-108,0.697
Flot2,1.55e-108,0.700
Gmps,3.21e-108,0.697
Snrpb,3.39e-108,0.697
Srpk1,3.75e-108,0.697
Fam162a,4.15e-108,0.697
Selenoh,5.29e-108,0.697
Rbm8a,6.11e-108,0.696
Ube2i,6.54e-108,0.696
Psat1,7.74e-108,0.696
Psmd14,1.10e-107,0.696
Ndufs7,3.84e-107,0.696
Eif3j1,3.90e-107,0.696
Eif4e2,1.06e-106,0.695
Elavl1,1.27e-106,0.695
Cytip,2.20e-106,0.698
Xbp1,2.64e-106,0.695
Srp19,1.07e-105,0.694
Sigmar1,1.34e-105,0.694
Ssbp1,2.34e-105,0.694
Chchd4,7.12e-105,0.694
Ccnd3,8.60e-105,0.694
Imp4,4.56e-104,0.693
Mrps18b,9.15e-104,0.693
Clpp,9.64e-104,0.693
Ddx3x,1.10e-103,0.692
Smarca5,1.84e-103,0.692
Usp14,1.94e-103,0.692
Scamp3,2.99e-103,0.692
Mat2a,3.34e-103,0.692
Wdr43,5.94e-103,0.692
Polr2i,5.94e-103,0.692
Rnf126,8.17e-103,0.692
Psma5,1.25e-102,0.692
Asns,1.71e-102,0.694
Kpnb1,3.40e-102,0.691
Il4ra,4.42e-102,0.694
Rbm17,5.32e-102,0.691
Sf3b5,7.26e-102,0.691
Psmd13,9.03e-102,0.691
Ywhaz,1.66e-101,0.690
Larp1,2.46e-101,0.690
Srsf1,1.96e-100,0.689
AC160336.1,2.95e-100,0.689
Dmkn,3.63e-100,0.692
1110004E09Rik,3.86e-100,0.688
Ndufb10,5.08e-100,0.689
Nt5c3,8.38e-100,0.689
Bzw2,8.92e-100,0.689
Psme3, 1.32e-99,0.688
Gstp1, 2.51e-99,0.688
Dad1, 3.28e-99,0.688
Ak6, 9.05e-99,0.688
Pwp1, 1.77e-98,0.687
Abi3, 2.72e-98,0.690
Nr2c2ap, 4.24e-98,0.687
Pum3, 5.50e-98,0.687
Mrpl35, 6.60e-98,0.687
Trmt61a, 7.08e-98,0.690
Psmd6, 7.25e-98,0.687
Wdr12, 7.49e-98,0.687
Ctu2, 8.59e-98,0.684
Dus1l, 1.87e-97,0.686
Hmgn2, 1.92e-97,0.687
Pusl1, 2.01e-97,0.684
Pla2g4a, 2.24e-97,0.686
Dnph1, 2.43e-97,0.686
Ssb, 3.65e-97,0.686
Ssr1, 8.85e-97,0.686
Prpf31, 9.44e-97,0.686
Mettl16, 1.28e-96,0.685
Hyou1, 1.38e-96,0.685
Akt1, 2.76e-96,0.685
Csnk2a2, 4.89e-96,0.685
Gpatch4, 1.58e-95,0.685
Ppm1g, 2.49e-95,0.685
Wdr4, 2.73e-95,0.683
Shmt2, 2.94e-95,0.684
Ufm1, 3.29e-95,0.684
Pdap1, 3.69e-95,0.684
Naa20, 3.74e-95,0.684
Samm50, 3.94e-95,0.684
Endog, 5.22e-95,0.682
Luc7l, 7.13e-95,0.684
Mrpl16, 9.25e-95,0.684
St13, 9.40e-95,0.684
Bola2, 1.00e-94,0.684
Wdr46, 1.27e-94,0.684
Cct5, 2.75e-94,0.684
Dazap1, 3.13e-94,0.683
Ccdc58, 7.57e-94,0.683
Ndufc2, 7.64e-94,0.683
Plscr1, 1.09e-93,0.685
Mak16, 1.10e-93,0.683
Tars, 1.15e-93,0.682
Ptbp1, 1.30e-93,0.683
Mdh2, 1.41e-93,0.683
Eif4h, 1.55e-93,0.683
Tcof1, 2.58e-93,0.683
Ctps, 2.67e-93,0.682
Thop1, 5.49e-93,0.681
Cox8a, 1.30e-92,0.682
Mrpl40, 1.39e-92,0.682
Ola1, 2.84e-92,0.682
Abcf1, 1.04e-91,0.681
Desi1, 1.48e-91,0.679
Bri3bp, 3.85e-91,0.680
Tmem251, 4.62e-91,0.678
Hprt, 4.87e-91,0.680
Polr2j, 9.04e-91,0.680
Cisd1, 1.01e-90,0.680
Ppif, 1.04e-90,0.680
Banf1, 1.37e-90,0.680
Pabpc4, 1.53e-90,0.680
Dctpp1, 1.66e-90,0.680
Ier3, 5.36e-90,0.682
Cinp, 6.22e-90,0.679
Atp5d, 7.16e-90,0.679
Wdr75, 8.61e-90,0.678
Nol11, 1.33e-89,0.679
Mrps25, 1.57e-89,0.679
Nasp, 2.57e-89,0.679
2010111I01Rik, 2.69e-89,0.678
Rrp7a, 3.35e-89,0.678
Nubp2, 4.99e-89,0.678
Wdr77, 8.41e-89,0.678
Bax, 8.83e-89,0.678
Timm50, 2.77e-88,0.678
Ube2v2, 3.80e-88,0.677
Cluh, 6.31e-88,0.680
Dohh, 8.49e-88,0.677
Ptma, 9.18e-88,0.677
Mrps17, 1.38e-87,0.677
Sf3b6, 1.75e-87,0.677
Tmem238, 1.91e-87,0.676
Prdx6, 2.23e-87,0.677
Sept1, 2.30e-87,0.679
Eif4g1, 4.95e-87,0.676
Tipin, 6.90e-87,0.676
Txnrd1, 8.56e-87,0.676
Dnttip2, 1.22e-86,0.676
Mrpl11, 1.37e-86,0.676
Slc25a4, 6.43e-86,0.675
Mrpl42, 8.64e-86,0.675
Metap2, 1.22e-85,0.675
Rae1, 1.27e-85,0.675
Mrpl54, 1.43e-85,0.675
Hells, 1.66e-85,0.675
Znhit3, 1.85e-85,0.674
Polr2c, 2.66e-85,0.674
Bzw1, 2.70e-85,0.674
Eif3c, 2.73e-85,0.674
Ppih, 3.11e-85,0.674
Gar1, 4.54e-85,0.674
Bysl, 5.21e-85,0.677
Vamp8, 1.16e-84,0.674
Ostc, 1.26e-84,0.674
Eif2b1, 1.48e-84,0.672
Nup43, 1.28e-83,0.672
Clptm1l, 1.54e-83,0.673
Pla2g12a, 3.69e-83,0.675
Tsfm, 8.94e-83,0.672
Gars, 1.50e-82,0.672
Psmb7, 2.84e-82,0.671
Bcap29, 2.95e-82,0.671
Mrpl22, 4.54e-82,0.671
Sumo1, 4.78e-82,0.671
Zfp106, 6.69e-82,0.671
Zmpste24, 7.97e-82,0.670
Rps19bp1, 1.84e-81,0.670
Cst7, 4.40e-81,0.670
Aurkaip1, 9.83e-81,0.670
Ngdn, 1.39e-80,0.669
Aasdhppt, 1.42e-80,0.669
Cd63, 1.79e-80,0.669
Rnf7, 2.13e-80,0.669
Cbx3, 2.16e-80,0.669
Cdc34, 2.73e-80,0.669
Eno1, 6.19e-80,0.669
Rgcc, 6.84e-80,0.668
Npm3, 8.83e-80,0.669
Exosc4, 1.10e-79,0.668
Srsf10, 1.10e-79,0.669
Tmed5, 1.71e-79,0.668
Batf, 1.73e-79,0.671
Cltb, 1.99e-79,0.671
Rars, 2.15e-79,0.668
Tbrg1, 2.84e-79,0.668
Gmppb, 2.92e-79,0.670
Sar1b, 5.62e-79,0.668
Pcbp1, 1.77e-78,0.667
Psmd1, 2.97e-78,0.667
Pnp, 3.17e-78,0.667
Rad23b, 3.59e-78,0.667
Coa3, 4.39e-78,0.667
Basp1, 8.65e-77,0.668
Trem3, 1.11e-76,0.668
Dis3, 5.72e-76,0.667
