Symbol,FDR,AUC.ctrl
Hsph1,2.55e-284,0.729
Ndufb5,6.87e-284,0.728
Prelid3b,1.82e-283,0.728
Ifrd2,2.02e-283,0.728
Ftsj3,1.25e-282,0.728
Gtpbp4,3.02e-282,0.727
Psma6,7.88e-281,0.727
Mrpl42,1.87e-279,0.726
Dnph1,1.84e-277,0.726
Pdcd5,2.29e-277,0.725
Sf3b6,5.20e-276,0.725
Psmg3,6.28e-276,0.725
Fam136a,1.54e-275,0.725
Fkbp1a,1.77e-275,0.725
Sf3b5,3.24e-275,0.724
Mcrip2,4.69e-275,0.725
Ddost,6.47e-275,0.724
Zfp593,4.57e-274,0.724
Hacd1,2.23e-273,0.724
Rps6ka3,2.47e-272,0.724
Llph,2.57e-272,0.723
Srsf6,1.74e-270,0.723
Srpk1,4.40e-270,0.722
Mrps14,9.56e-269,0.722
Selenoh,7.36e-268,0.721
Psmc5,9.26e-268,0.721
Ctsz,9.10e-267,0.721
Atp5j2,1.17e-266,0.721
Ola1,1.91e-266,0.721
Ccdc86,4.01e-265,0.721
Gadd45gip1,8.36e-264,0.719
Aen,5.20e-263,0.720
Mybbp1a,9.86e-263,0.720
Rpl9-ps6,1.16e-262,0.719
Ndufs7,1.48e-262,0.719
Psmd6,1.80e-262,0.720
Ndufs6,1.22e-261,0.719
Mrpl15,1.71e-261,0.719
Atad3a,2.22e-258,0.718
Ruvbl2,9.05e-258,0.718
Ndufb9,9.16e-258,0.717
Stoml2,4.41e-257,0.717
Cct2,1.86e-256,0.717
Tpi1,2.19e-256,0.717
Mrps18b,6.02e-256,0.717
Guk1,1.41e-255,0.717
Dkc1,2.32e-255,0.716
Shmt2,4.21e-255,0.716
Cox7b,1.07e-254,0.716
Ndufa5,3.75e-254,0.716
Rps12-ps3,2.29e-253,0.716
Txnl1,3.99e-253,0.715
Cox8a,1.13e-252,0.715
Bola3,2.86e-252,0.715
Dpy30,4.57e-252,0.715
2010111I01Rik,7.48e-252,0.715
Mrps7,2.68e-251,0.715
Dnajb11,1.33e-250,0.715
Mrps34,1.28e-249,0.714
1110008F13Rik,5.01e-249,0.713
Tmem167,9.62e-249,0.713
